goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  20208909 ns/op	       146.0 redis_commands/op	   8457342 redis_network_bytes/op	       115.0 redis_round_trips/op	13820132 B/op	    4152 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  19754465 ns/op	       146.0 redis_commands/op	   8457330 redis_network_bytes/op	       115.0 redis_round_trips/op	13816539 B/op	    4148 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  19800986 ns/op	       146.0 redis_commands/op	   8457354 redis_network_bytes/op	       115.0 redis_round_trips/op	13816994 B/op	    4149 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  19951039 ns/op	       146.0 redis_commands/op	   8457360 redis_network_bytes/op	       115.0 redis_round_trips/op	13815693 B/op	    4147 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  20644621 ns/op	       146.0 redis_commands/op	   8457360 redis_network_bytes/op	       115.0 redis_round_trips/op	13819623 B/op	    4150 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  20785747 ns/op	       321.0 redis_commands/op	    213162 redis_network_bytes/op	       321.0 redis_round_trips/op	  487033 B/op	   10062 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21607239 ns/op	       321.0 redis_commands/op	    213159 redis_network_bytes/op	       321.0 redis_round_trips/op	  486447 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  20973929 ns/op	       321.0 redis_commands/op	    213144 redis_network_bytes/op	       321.0 redis_round_trips/op	  486168 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21131010 ns/op	       321.0 redis_commands/op	    213150 redis_network_bytes/op	       321.0 redis_round_trips/op	  487080 B/op	   10063 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  20726518 ns/op	       321.0 redis_commands/op	    213159 redis_network_bytes/op	       321.0 redis_round_trips/op	  486109 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  20862369 ns/op	       321.0 redis_commands/op	    213159 redis_network_bytes/op	       321.0 redis_round_trips/op	  487052 B/op	   10063 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21102345 ns/op	       321.0 redis_commands/op	    213156 redis_network_bytes/op	       321.0 redis_round_trips/op	  486836 B/op	   10062 allocs/op
